,Unnamed: 0,Number,OR Link,Title,Authors,Session,Unnamed: 5,inoue,oki,rama,ishii,thibault,mukai,hashimoto,Keyword,Abstract,BS Session,Order,Unnamed: 6,Oral Session,base_txt,dim1,dim2,best_kw,category,id,disp_txt
0,0,1,https://openreview.net/forum?id=sWBqOL5Nh4P,Learning Density Distribution of Reachable States for Autonomous Systems,"Yue Meng, Dawei Sun, Zeng Qiu, Md Tawhid Bin Waez, Chuchu Fan",1.0,,,,,,,False,,"Reachability Density Distribution, Learning Density Distribution, Liouville Theorem","State density distribution, in contrast to worst-case reachability, can be leveraged for safety-related problems to better quantify the likelihood of the risk for potentially hazardous situations. In this work, we propose a data-driven method to compute the density distribution of reachable states for nonlinear and even black-box systems. Our semi-supervised approach learns system dynamics and the state density jointly from trajectory data, guided by the fact that the state density evolution follows the Liouville partial differential equation. With the help of neural network reachability tools, our approach can estimate the set of all possible future states as well as their density. Moreover, we could perform online safety verification with probability ranges for unsafe behaviors to occur. We use an extensive set of experiments to show that our learned solution can produce a much more accurate estimate on density distribution, and can quantify risks less conservatively and flexibly comparing with worst-case analysis.",,,,,"learning density distribution of reachable states for autonomous systems reachability density distribution, learning density distribution, liouville theorem state density distribution, in contrast to worst-case reachability, can be leveraged for safety-related problems to better quantify the likelihood of the risk for potentially hazardous situations. in this work, we propose a data-driven method to compute the density distribution of reachable states for nonlinear and even black-box systems. our semi-supervised approach learns system dynamics and the state density jointly from trajectory data, guided by the fact that the state density evolution follows the liouville partial differential equation. with the help of neural network reachability tools, our approach can estimate the set of all possible future states as well as their density. moreover, we could perform online safety verification with probability ranges for unsafe behaviors to occur. we use an extensive set of experiments to show that our learned solution can produce a much more accurate estimate on density distribution, and can quantify risks less conservatively and flexibly comparing with worst-case analysis.",-1.9929007,4.2241416,density,no reinforce,0,"id:0 (density)<br><b>Learning Density Distribution of Reachable States for Autonomous Systems</b><br>kw:Reachability Density Distribution, Learning Density Distribution, Liouville Theorem"
1,1,47,https://openreview.net/forum?id=2NcPgLa7yqD,Optical Tactile Sim-to-Real Policy Transfer via Real-to-Sim Tactile Image Translation,"Alex Church, John Lloyd, raia hadsell, Nathan F. Lepora",1.0,,,,,,,False,,"Tactile Robotics, Sim2Real, Reinforcement Learning","Simulation has recently become key for deep reinforcement learning to safely and efficiently acquire general and complex control policies from visual and proprioceptive inputs. Tactile information is not usually considered despite its direct relation to environment interaction. In this work, we present a suite of simulated environments tailored towards tactile robotics and reinforcement learning. A simple and fast method of simulating optical tactile sensors is provided, where high-resolution contact geometry is represented as depth images. Proximal Policy Optimisation (PPO) is used to learn successful policies across all considered tasks. A data-driven approach enables translation of the current state of a real tactile sensor to corresponding simulated depth images. This policy is implemented within a real-time control loop on a physical robot to demonstrate zero-shot sim-to-real policy transfer on several physically-interactive tasks requiring a sense of touch.",,,,,"optical tactile sim-to-real policy transfer via real-to-sim tactile image translation tactile robotics, sim2real, reinforcement learning simulation has recently become key for deep reinforcement learning to safely and efficiently acquire general and complex control policies from visual and proprioceptive inputs. tactile information is not usually considered despite its direct relation to environment interaction. in this work, we present a suite of simulated environments tailored towards tactile robotics and reinforcement learning. a simple and fast method of simulating optical tactile sensors is provided, where high-resolution contact geometry is represented as depth images. proximal policy optimisation (ppo) is used to learn successful policies across all considered tasks. a data-driven approach enables translation of the current state of a real tactile sensor to corresponding simulated depth images. this policy is implemented within a real-time control loop on a physical robot to demonstrate zero-shot sim-to-real policy transfer on several physically-interactive tasks requiring a sense of touch.",-2.6828387,3.2578013,tactile,reinforce,1,"id:1 (tactile)<br><b>Optical Tactile Sim-to-Real Policy Transfer via Real-to-Sim Tactile Image Translation</b><br>kw:Tactile Robotics, Sim2Real, Reinforcement Learning"
2,2,104,https://openreview.net/forum?id=4u25M570Iji,Motion Forecasting with Unlikelihood Training in Continuous Space,"Deyao Zhu, Mohamed Zahran, Li Erran Li, Mohamed Elhoseiny",1.0,,,,,,,False,,,"Motion forecasting is essential for making safe and intelligent decisions in robotic applications such as autonomous driving. Existing methods often formulate it as a sequence-to-sequence prediction problem, solved in an encoder-decoder framework with a maximum likelihood estimation objective. State-of-the-art models leverage contextual information including the map and states of surrounding agents. However,  we observe that they still assign a high probability to unlikely trajectories resulting in unsafe behaviors including road boundary violations. Orthogonally, we propose a new objective, unlikelihood training, which forces predicted trajectories that conflict with contextual information to be assigned a lower probability. We demonstrate that our method can improve state-of-art models' performance on challenging real-world trajectory forecasting datasets (nuScenes and Argoverse) by avoiding up to 56% context-violated prediction and improving up to 9% prediction accuracy.  Code will be made available.",,,,,"motion forecasting with unlikelihood training in continuous space nan motion forecasting is essential for making safe and intelligent decisions in robotic applications such as autonomous driving. existing methods often formulate it as a sequence-to-sequence prediction problem, solved in an encoder-decoder framework with a maximum likelihood estimation objective. state-of-the-art models leverage contextual information including the map and states of surrounding agents. however,  we observe that they still assign a high probability to unlikely trajectories resulting in unsafe behaviors including road boundary violations. orthogonally, we propose a new objective, unlikelihood training, which forces predicted trajectories that conflict with contextual information to be assigned a lower probability. we demonstrate that our method can improve state-of-art models' performance on challenging real-world trajectory forecasting datasets (nuscenes and argoverse) by avoiding up to 56% context-violated prediction and improving up to 9% prediction accuracy.  code will be made available.",-2.131907,3.644637,forecasting,no reinforce,2,id:2 (forecasting)<br><b>Motion Forecasting with Unlikelihood Training in Continuous Space</b><br>kw:nan
3,3,108,https://openreview.net/forum?id=vm8Hr9YJHZ1,Fast and Efficient Locomotion via Learned Gait Transitions,"Yuxiang Yang, Tingnan Zhang, Erwin Coumans, Jie Tan, Byron Boots",1.0,,,,,,,False,,"Legged Locomotion, Hierarchical Control, Reinforcement Learning","We focus on the problem of developing energy efficient controllers for quadrupedal robots. Animals can actively switch gaits at different speeds to lower their energy consumption. In this paper, we devise a hierarchical learning framework, in which distinctive locomotion gaits and natural gait transitions emerge automatically with a simple reward of energy minimization.  We use evolutionary strategies (ES) to train a high-level gait policy that specifies gait patterns of each foot, while the low-level convex MPC controller optimizes the motor commands so that the robot can walk at a desired velocity using that gait pattern. We test our learning framework on a quadruped robot and demonstrate automatic gait transitions, from walking to trotting and to fly-trotting, as the robot increases its speed. We show that the learned hierarchical controller consumes much less energy across a wide range of locomotion speed than baseline controllers.",,,,,"fast and efficient locomotion via learned gait transitions legged locomotion, hierarchical control, reinforcement learning we focus on the problem of developing energy efficient controllers for quadrupedal robots. animals can actively switch gaits at different speeds to lower their energy consumption. in this paper, we devise a hierarchical learning framework, in which distinctive locomotion gaits and natural gait transitions emerge automatically with a simple reward of energy minimization.  we use evolutionary strategies (es) to train a high-level gait policy that specifies gait patterns of each foot, while the low-level convex mpc controller optimizes the motor commands so that the robot can walk at a desired velocity using that gait pattern. we test our learning framework on a quadruped robot and demonstrate automatic gait transitions, from walking to trotting and to fly-trotting, as the robot increases its speed. we show that the learned hierarchical controller consumes much less energy across a wide range of locomotion speed than baseline controllers.",-2.148177,3.3691323,gait,reinforce,3,"id:3 (gait)<br><b>Fast and Efficient Locomotion via Learned Gait Transitions</b><br>kw:Legged Locomotion, Hierarchical Control, Reinforcement Learning"
4,4,153,https://openreview.net/forum?id=zwo1-MdMl1P,Robot Reinforcement Learning on the Constraint Manifold,"Puze Liu, Davide Tateo, Haitham Bou Ammar, Jan Peters",1.0,,,,,,,False,,"Robot Learning, Reinforcement Learning, Constrained Markov Decision Process, Safe Exploration","Reinforcement learning in robotics is extremely challenging due to many practical issues, including safety, mechanical constraints, and wear and tear. Typically, these issues are not considered in the machine learning literature. One crucial problem in applying reinforcement learning in the real world is Safe Exploration, which requires physical and safety constraints satisfaction throughout the learning process.  To explore in such a safety-critical environment, leveraging known information such as robot models and constraints is beneficial to provide more robust safety guarantees. Exploiting this knowledge, we propose a novel method to learn robotics tasks in simulation efficiently while satisfying the constraints during the learning process.",,,,,"robot reinforcement learning on the constraint manifold robot learning, reinforcement learning, constrained markov decision process, safe exploration reinforcement learning in robotics is extremely challenging due to many practical issues, including safety, mechanical constraints, and wear and tear. typically, these issues are not considered in the machine learning literature. one crucial problem in applying reinforcement learning in the real world is safe exploration, which requires physical and safety constraints satisfaction throughout the learning process.  to explore in such a safety-critical environment, leveraging known information such as robot models and constraints is beneficial to provide more robust safety guarantees. exploiting this knowledge, we propose a novel method to learn robotics tasks in simulation efficiently while satisfying the constraints during the learning process.",-2.6404147,2.2869692,constraints,reinforce,4,"id:4 (constraints)<br><b>Robot Reinforcement Learning on the Constraint Manifold</b><br>kw:Robot Learning, Reinforcement Learning, Constrained Markov Decision Process, Safe Exploration"
5,5,209,https://openreview.net/forum?id=87_OJU4sw3V,"ReSkin: versatile, replaceable, lasting tactile skins","Raunaq Bhirangi, Tess Hellebrekers, Carmel Majidi, Abhinav Gupta",1.0,,,,,,,False,,"Tactile Skin, Self-supervised Learning, Magnetic Sensing, Soft Sensors","Soft sensors have continued growing interest in robotics, due to their ability to enable both passive conformal contact from the material properties and active contact data from the sensor properties. However, the same properties of conformal contact result in faster deterioration of soft sensors and larger variations in their response characteristics over time and across samples, inhibiting their ability to be long-lasting and replaceable. ReSkin is a tactile soft sensor that leverages machine learning and magnetic sensing to offer a low-cost, diverse and compact solution for long-term use. Magnetic sensing separates the electronic circuitry from the passive interface, making it easier to replace interfaces as they wear out while allowing for a wide variety of form factors. Machine learning allows us to learn sensor response models that are robust to variations across fabrication and time, and our self-supervised learning algorithm enables finer performance enhancement with small, inexpensive data collection procedures. We believe that ReSkin opens the door to more versatile, scalable and inexpensive tactile sensation modules than existing alternatives.",,,,,"reskin: versatile, replaceable, lasting tactile skins tactile skin, self-supervised learning, magnetic sensing, soft sensors soft sensors have continued growing interest in robotics, due to their ability to enable both passive conformal contact from the material properties and active contact data from the sensor properties. however, the same properties of conformal contact result in faster deterioration of soft sensors and larger variations in their response characteristics over time and across samples, inhibiting their ability to be long-lasting and replaceable. reskin is a tactile soft sensor that leverages machine learning and magnetic sensing to offer a low-cost, diverse and compact solution for long-term use. magnetic sensing separates the electronic circuitry from the passive interface, making it easier to replace interfaces as they wear out while allowing for a wide variety of form factors. machine learning allows us to learn sensor response models that are robust to variations across fabrication and time, and our self-supervised learning algorithm enables finer performance enhancement with small, inexpensive data collection procedures. we believe that reskin opens the door to more versatile, scalable and inexpensive tactile sensation modules than existing alternatives.",-1.3720126,4.616495,soft,no reinforce,5,"id:5 (soft)<br><b>ReSkin: versatile, replaceable, lasting tactile skins</b><br>kw:Tactile Skin, Self-supervised Learning, Magnetic Sensing, Soft Sensors"
6,6,217,https://openreview.net/forum?id=8ZL7Jh1r8WX,Task-Driven Out-of-Distribution Detection with Statistical Guarantees for Robot Learning,"Alec Farid, Sushant Veer, Anirudha Majumdar",1.0,,,,,,,False,,"Out-of-distribution detection, generalization, PAC-Bayes","Our goal is to perform out-of-distribution (OOD) detection, i.e., to detect when a robot is operating in environments that are drawn from a different distribution than the environments used to train the robot. We leverage Probably Approximately Correct (PAC)-Bayes theory in order to train a policy with a guaranteed bound on performance on the training distribution. Our key idea for OOD detection then relies on the following intuition: violation of the performance bound on test environments provides evidence that the robot is operating OOD. We formalize this via statistical techniques based on p-values and concentration inequalities. The resulting approach (i) provides guaranteed confidence bounds on OOD detection, and (ii) is task-driven and sensitive only to changes that impact the robot’s performance. We demonstrate our approach on a simulated example of grasping objects with unfamiliar poses or shapes. We also present both simulation and hardware experiments for a drone performing vision-based obstacle avoidance in unfamiliar environments (including wind disturbances and different obstacle densities). Our examples demonstrate that we can perform task-driven OOD detection within just a handful of trials. Comparisons with baselines also demonstrate the advantages of our approach in terms of providing statistical guarantees and being insensitive to task-irrelevant distribution shifts.",,,,,"task-driven out-of-distribution detection with statistical guarantees for robot learning out-of-distribution detection, generalization, pac-bayes our goal is to perform out-of-distribution (ood) detection, i.e., to detect when a robot is operating in environments that are drawn from a different distribution than the environments used to train the robot. we leverage probably approximately correct (pac)-bayes theory in order to train a policy with a guaranteed bound on performance on the training distribution. our key idea for ood detection then relies on the following intuition: violation of the performance bound on test environments provides evidence that the robot is operating ood. we formalize this via statistical techniques based on p-values and concentration inequalities. the resulting approach (i) provides guaranteed confidence bounds on ood detection, and (ii) is task-driven and sensitive only to changes that impact the robot’s performance. we demonstrate our approach on a simulated example of grasping objects with unfamiliar poses or shapes. we also present both simulation and hardware experiments for a drone performing vision-based obstacle avoidance in unfamiliar environments (including wind disturbances and different obstacle densities). our examples demonstrate that we can perform task-driven ood detection within just a handful of trials. comparisons with baselines also demonstrate the advantages of our approach in terms of providing statistical guarantees and being insensitive to task-irrelevant distribution shifts.",-2.729727,3.9463959,task-driven,no reinforce,6,"id:6 (task-driven)<br><b>Task-Driven Out-of-Distribution Detection with Statistical Guarantees for Robot Learning</b><br>kw:Out-of-distribution detection, generalization, PAC-Bayes"
7,7,249,https://openreview.net/forum?id=1mDC24WX8Yh,Tactile Image-to-Image Disentanglement of Contact Geometry from Motion-Induced Shear,"Anupam K. Gupta, Laurence Aitchison, Nathan F. Lepora",1.0,,,,,,,False,,"Reinforcement Learning, Imitation Learning, Skill-Based Transfer Learning","Demonstration-guided reinforcement learning (RL) is a promising approach for learning complex behaviors by leveraging both reward feedback and a set of target task demonstrations. Prior approaches for demonstration-guided RL treat every new task as an independent learning problem and attempt to follow the provided demonstrations step-by-step, akin to a human trying to imitate a completely unseen behavior by following the demonstrator's exact muscle movements. Naturally, such learning will be slow, but often new behaviors are not completely unseen: they share subtasks with behaviors we have previously learned. In this work, we aim to exploit this shared subtask structure to increase the efficiency of demonstration-guided RL. We first learn a set of reusable skills from large offline datasets of prior experience collected across many tasks. We then propose Skill-based Learning with Demonstrations (SkiLD), an algorithm for demonstration-guided RL that efficiently leverages the provided demonstrations by following the demonstrated skills instead of the primitive actions, resulting in substantial performance improvements over prior demonstration-guided RL approaches. We validate the effectiveness of our approach on long-horizon maze navigation and complex robot manipulation tasks.",,,,,"tactile image-to-image disentanglement of contact geometry from motion-induced shear reinforcement learning, imitation learning, skill-based transfer learning demonstration-guided reinforcement learning (rl) is a promising approach for learning complex behaviors by leveraging both reward feedback and a set of target task demonstrations. prior approaches for demonstration-guided rl treat every new task as an independent learning problem and attempt to follow the provided demonstrations step-by-step, akin to a human trying to imitate a completely unseen behavior by following the demonstrator's exact muscle movements. naturally, such learning will be slow, but often new behaviors are not completely unseen: they share subtasks with behaviors we have previously learned. in this work, we aim to exploit this shared subtask structure to increase the efficiency of demonstration-guided rl. we first learn a set of reusable skills from large offline datasets of prior experience collected across many tasks. we then propose skill-based learning with demonstrations (skild), an algorithm for demonstration-guided rl that efficiently leverages the provided demonstrations by following the demonstrated skills instead of the primitive actions, resulting in substantial performance improvements over prior demonstration-guided rl approaches. we validate the effectiveness of our approach on long-horizon maze navigation and complex robot manipulation tasks.",-3.4063478,3.1848412,demonstration-guided,reinforce,7,"id:7 (demonstration-guided)<br><b>Tactile Image-to-Image Disentanglement of Contact Geometry from Motion-Induced Shear</b><br>kw:Reinforcement Learning, Imitation Learning, Skill-Based Transfer Learning"
8,8,254,https://openreview.net/forum?id=a5ZiDzL0enJ,Learning Inertial Odometry for Dynamic Legged Robot State Estimation,"Russell Buchanan, Marco Camurri, Frank Dellaert, Maurice Fallon",1.0,,,,,,,False,,"Legged Robots, Inertial Navigation, Deep Neural Networks","This paper introduces a novel proprioceptive state estimator for legged robots based on a learned displacement measurement from IMU data. Recent research in pedestrian tracking has shown that motion can be inferred from inertial data using convolutional neural networks. A learned inertial displacement measurement can improve state estimation in challenging scenarios where leg odometry is unreliable, such as slipping and compressible terrains. Our work learns to estimate a displacement measurement from IMU data which is then fused with traditional leg odometry. Our approach greatly reduces the drift of proprioceptive state estimation, which is critical for legged robots deployed in vision and lidar denied environments such as foggy sewers or dusty mines. We compared results from an EKF and an incremental fixed-lag factor graph estimator using data from several real robot experiments crossing challenging terrains. Our results show a reduction of relative pose error by 37% in challenging scenarios when compared to a traditional kinematic-inertial estimator without learned measurement. We also demonstrate a 22% reduction in error when used with vision systems in visually degraded environments such as an underground mine.",,,,,"learning inertial odometry for dynamic legged robot state estimation legged robots, inertial navigation, deep neural networks this paper introduces a novel proprioceptive state estimator for legged robots based on a learned displacement measurement from imu data. recent research in pedestrian tracking has shown that motion can be inferred from inertial data using convolutional neural networks. a learned inertial displacement measurement can improve state estimation in challenging scenarios where leg odometry is unreliable, such as slipping and compressible terrains. our work learns to estimate a displacement measurement from imu data which is then fused with traditional leg odometry. our approach greatly reduces the drift of proprioceptive state estimation, which is critical for legged robots deployed in vision and lidar denied environments such as foggy sewers or dusty mines. we compared results from an ekf and an incremental fixed-lag factor graph estimator using data from several real robot experiments crossing challenging terrains. our results show a reduction of relative pose error by 37% in challenging scenarios when compared to a traditional kinematic-inertial estimator without learned measurement. we also demonstrate a 22% reduction in error when used with vision systems in visually degraded environments such as an underground mine.",-1.3318719,4.839923,inertial,no reinforce,8,"id:8 (inertial)<br><b>Learning Inertial Odometry for Dynamic Legged Robot State Estimation</b><br>kw:Legged Robots, Inertial Navigation, Deep Neural Networks"
9,9,268,https://openreview.net/forum?id=jV0n2wJocXr,CLASP: Constrained Latent Shape Projection for Refining Object Shape from Robot Contact,"Brad Saund, Dmitry Berenson",1.0,,,,,,,False,,"Shape Completion, Contact Sensing","Robots need both visual and contact sensing to effectively estimate the state of their environment. Camera RGBD data provides rich information of the objects surrounding the robot, and shape priors can help correct noise and fill in gaps and occluded regions. However, when the robot senses unexpected contact, the estimate should be updated to explain the contact. To address this need, we propose CLASP: Constrained Latent Shape Projection. This approach consists of a shape completion network that generates a prior from RGBD data and a procedure to generate shapes consistent with both the network prior and robot contact observations. We find CLASP consistently decreases the Chamfer Distance between the predicted and ground truth scenes, while other approaches do not benefit from contact information.",,,,,"clasp: constrained latent shape projection for refining object shape from robot contact shape completion, contact sensing robots need both visual and contact sensing to effectively estimate the state of their environment. camera rgbd data provides rich information of the objects surrounding the robot, and shape priors can help correct noise and fill in gaps and occluded regions. however, when the robot senses unexpected contact, the estimate should be updated to explain the contact. to address this need, we propose clasp: constrained latent shape projection. this approach consists of a shape completion network that generates a prior from rgbd data and a procedure to generate shapes consistent with both the network prior and robot contact observations. we find clasp consistently decreases the chamfer distance between the predicted and ground truth scenes, while other approaches do not benefit from contact information.",-2.0605524,3.7707472,shape,no reinforce,9,"id:9 (shape)<br><b>CLASP: Constrained Latent Shape Projection for Refining Object Shape from Robot Contact</b><br>kw:Shape Completion, Contact Sensing"
